"Status","Address","Port","Protocol","Category","Subcat","Notes"
"DNS","devicelistenprod.eudb.microsoft.com","443","TCP","Windows Autopatch","Windows Autopatch",""
"DNS","sinwns1011421.wns.windows.com","443","TCP","Windows Push Notification Services","WNS Dependencies",""
