"Status","Address","Port","Protocol","Category","Subcat","Notes"
"FAIL","48.218.252.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","52.162.111.96","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","52.162.111.96","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","52.240.244.160","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","52.240.244.160","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.153.235.0","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.153.235.0","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.154.140.128","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.154.140.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.154.195.0","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.154.195.0","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.155.45.128","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","57.155.45.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","74.242.35.0","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","74.242.35.0","80","TCP","Intune Core Service","Intune Client and Host Service",""
